#{"t_start": 1780075388.689291, "env_id": "CartPole-v1"}
r,l,t
20.0,20,0.015271
30.0,30,0.025517
11.0,11,0.02948
50.0,50,0.046281
11.0,11,0.050076
13.0,13,0.054279
22.0,22,0.061087
21.0,21,0.068201
13.0,13,0.072479
19.0,19,0.078985
11.0,11,0.082847
23.0,23,0.090308
16.0,16,0.095447
9.0,9,0.098548
29.0,29,0.107723
19.0,19,0.113695
29.0,29,0.123422
26.0,26,0.132092
23.0,23,0.139739
19.0,19,0.145637
19.0,19,0.152082
13.0,13,0.156063
12.0,12,0.15967
18.0,18,0.166474
18.0,18,0.172341
15.0,15,0.177222
27.0,27,0.186368
17.0,17,0.191778
12.0,12,0.195363
24.0,24,0.203836
15.0,15,0.208578
27.0,27,0.218354
15.0,15,0.223388
22.0,22,0.23118
26.0,26,0.239478
18.0,18,0.245126
30.0,30,0.25548
27.0,27,0.264554
28.0,28,0.273405
19.0,19,0.279458
12.0,12,0.283761
47.0,47,0.299253
15.0,15,0.304052
15.0,15,0.308717
11.0,11,0.312328
12.0,12,0.31732
29.0,29,0.326861
34.0,34,0.338756
38.0,38,0.351328
15.0,15,0.356091
18.0,18,0.361797
11.0,11,0.365853
19.0,19,0.371844
26.0,26,0.380577
11.0,11,0.384309
83.0,83,0.411006
87.0,87,0.440094
12.0,12,0.443989
14.0,14,0.449096
15.0,15,0.453805
21.0,21,0.460329
9.0,9,0.463738
27.0,27,0.472443
40.0,40,0.485676
15.0,15,0.490415
10.0,10,0.493519
12.0,12,0.498034
20.0,20,0.504364
32.0,32,0.515076
20.0,20,0.521746
15.0,15,0.526451
15.0,15,0.532089
57.0,57,0.551413
29.0,29,0.560344
13.0,13,0.565308
15.0,15,0.570031
37.0,37,0.582325
17.0,17,0.587513
31.0,31,0.597791
21.0,21,0.604429
24.0,24,0.611739
13.0,13,0.616608
9.0,9,0.619657
19.0,19,0.625638
48.0,48,0.642067
42.0,42,0.655867
68.0,68,0.677908
24.0,24,0.686318
58.0,58,3.301297
26.0,26,3.309856
60.0,60,3.330388
16.0,16,3.335811
18.0,18,3.34151
21.0,21,3.348516
25.0,25,3.356442
24.0,24,3.364299
16.0,16,3.369434
65.0,65,3.389785
60.0,60,3.40825
23.0,23,3.41548
36.0,36,3.426584
30.0,30,3.436259
39.0,39,3.448681
25.0,25,3.456466
20.0,20,3.462756
12.0,12,3.466684
23.0,23,3.473879
15.0,15,3.478841
11.0,11,3.482628
16.0,16,3.48768
16.0,16,3.492737
15.0,15,3.497729
23.0,23,3.505118
85.0,85,3.534317
38.0,38,3.547462
28.0,28,3.55652
12.0,12,3.560425
27.0,27,3.569414
81.0,81,3.595482
50.0,50,3.611369
15.0,15,3.616933
18.0,18,3.623353
60.0,60,3.645983
10.0,10,3.650749
11.0,11,3.65453
21.0,21,3.661776
33.0,33,3.673611
77.0,77,3.699032
24.0,24,3.70663
18.0,18,3.712307
18.0,18,3.718617
27.0,27,3.727244
31.0,31,3.737688
55.0,55,3.754992
29.0,29,3.764235
24.0,24,3.771761
55.0,55,3.789075
36.0,36,3.800902
15.0,15,3.805619
28.0,28,3.8148
20.0,20,3.821417
37.0,37,3.834095
