#{"t_start": 1780409188.5723825, "env_id": "Ant-v4"}
r,l,t
-26.942855,36,0.076608
-74.361412,57,0.183941
-14.218717,10,0.199934
-7.46358,26,0.241584
-49.780861,38,0.304004
-28.812862,25,0.344279
-21.56807,17,0.372241
-164.996248,140,0.599468
-84.331166,75,0.720373
-27.236744,23,0.757191
-83.974231,98,0.916209
-282.327288,296,1.393853
-5.178999,27,1.438231
-82.351802,62,1.539528
-19.575753,19,1.570523
-33.889839,19,1.601203
-25.085483,34,1.656596
-11.77606,21,1.690933
-134.691246,107,1.864212
-53.067204,45,1.937806
-1077.790052,1000,7.279993
-1100.576807,1000,8.901331
-178.051354,144,9.136806
-114.558518,87,9.277514
-201.235152,192,9.584391
-95.398988,65,9.6885
-26.187016,20,9.720741
-11.172994,21,9.754426
-95.293295,62,9.855613
-14.662143,15,9.880051
-44.134172,36,9.937622
-30.067999,34,9.991936
-38.50121,54,10.080058
-21.668243,23,10.117826
-149.067966,175,14.14169
-44.939687,49,14.223549
-6.890231,10,14.240644
-8.907376,21,14.275325
-6.017604,12,14.294702
-6.183687,12,14.314477
-109.317247,102,14.483425
-49.230875,63,14.586816
-69.294387,39,14.649525
-43.223121,39,14.712992
-77.415077,55,14.802911
-39.623548,32,14.856992
-33.077604,41,14.922551
-27.163377,16,14.9479
-74.76185,60,15.043876
-9.741629,14,15.06689
-1076.227161,1000,16.68495
-13.709447,12,16.704361
-44.353989,52,16.788144
-59.68092,47,16.864458
-150.134862,77,16.988315
-72.79575,48,17.066352
-71.034147,68,17.176273
-174.33905,170,17.450444
-59.106315,58,21.262364
-59.294646,39,21.324913
-49.187517,31,21.375188
-44.375472,45,21.448704
-27.468646,17,21.47621
-42.248411,28,21.521971
-59.436572,132,21.736892
-17.362831,23,21.773786
-50.795127,69,21.88543
-132.338911,99,22.045585
-6.890441,23,22.084244
-4.510323,25,22.125077
-91.919583,97,22.281262
-40.106001,28,22.326044
-25.865217,32,22.377087
-100.77088,66,22.483668
-12.461847,11,22.501492
-1026.818138,1000,24.111908
-18.422077,19,24.142404
-42.5863,36,24.200222
-87.354038,87,24.341237
-38.327203,34,24.395275
-38.342111,47,24.470302
-38.134562,43,28.273552
-15.792071,22,28.311579
-12.774111,19,28.343032
-33.028129,39,28.406641
-13.022693,20,28.439523
-68.596116,93,28.591241
-22.357292,29,28.638706
-54.484473,41,28.705884
-28.632215,29,28.752831
-34.21375,74,28.874822
-49.68965,97,29.032079
-205.76858,109,29.20839
-111.301897,71,29.321737
-41.002981,37,29.380176
-17.533315,12,29.399365
-44.374968,28,29.44521
-33.067982,24,29.484019
-9.166512,11,29.501834
-160.106807,121,29.695692
-986.401648,1000,31.316066
-30.487613,32,31.368718
-161.894827,99,31.527898
-13.751029,13,40.465989
-36.10519,34,40.520608
-73.87161,73,40.638426
-101.730528,97,40.793581
-165.381097,132,41.005457
-42.898408,33,41.05828
-59.823901,57,41.150231
-35.551353,52,41.233653
-50.529725,36,41.291704
-48.155406,77,41.415968
-50.933165,52,41.499375
-7.958464,22,41.535294
-18.95643,37,41.594944
-30.193585,26,41.637136
-56.510794,48,41.714629
-44.022706,42,41.781739
-16.280539,17,41.808962
-16.083291,18,41.838026
-142.5769,123,42.033365
-34.863083,24,42.07127
-8.417143,19,42.101615
-1010.328303,1000,43.703639
-58.135185,72,47.524694
-12.875945,14,47.547421
-46.915157,79,47.675194
-76.127303,113,47.858006
-2.847862,47,47.934339
-50.196356,81,48.064638
-26.064209,41,48.132735
-31.784724,46,48.20836
-94.423986,97,48.368354
-18.366091,11,48.386542
-941.68295,1000,50.017084
-19.675431,15,50.040984
-38.368206,67,50.149732
-7.691264,15,50.17423
-44.064789,49,50.252488
-25.080208,13,50.273459
-33.443329,31,50.325202
-41.604368,30,50.373652
-20.691741,22,50.409226
-929.934357,1000,55.702474
-949.849725,1000,57.317652
-6.995772,20,57.350232
-28.661962,30,57.399592
-47.11634,77,57.524845
-8.967682,7,57.536069
-30.375317,57,57.627949
-851.625584,1000,68.147206
-66.719483,27,68.1906
-88.098621,57,68.282108
-21.194921,30,68.330002
-5.276192,29,68.376981
-15.707233,16,68.402343
-36.04588,25,68.442496
-48.19847,66,68.547423
-931.641821,1000,73.855597
-62.289679,77,73.980977
-935.856204,1000,75.619973
-25.698024,19,75.65112
-25.689387,26,75.692845
-13.704909,11,75.710731
-4.597659,51,75.792521
-27.21533,22,75.827816
-35.948017,27,75.872591
-43.383312,52,75.956246
-103.448424,105,76.126254
-107.713034,123,76.3281
-21.531655,43,76.397922
-6.092184,10,76.41412
-29.301116,18,76.44337
-32.005073,30,76.492502
-81.145565,86,76.630937
-41.242138,28,76.675695
-944.444791,1000,82.01297
-26.778601,69,82.12649
-16.453976,15,82.150768
-59.798446,70,82.264929
-11.186936,11,82.282713
-11.477568,11,82.300416
1.81968,120,82.494309
-34.106222,45,82.567968
-17.027794,28,82.613534
-10.078955,12,82.633462
-48.496423,30,82.682845
-76.890186,52,82.768379
-43.406575,37,82.828182
-37.54301,19,82.858474
-11.361545,15,82.883278
-29.313042,46,82.958321
-23.554724,20,82.991175
-51.731824,66,83.098808
-10.001694,52,83.183163
-32.246065,66,83.289757
-19.012311,21,83.323538
-44.144074,29,83.369978
-58.147701,91,83.516314
-8.412753,30,83.563888
-62.084379,81,83.693086
-52.849994,42,83.760559
-26.76111,16,83.786111
-15.722158,23,83.823213
-64.241281,63,83.926413
-889.65154,1000,89.258394
-23.634818,22,89.294413
-27.255132,38,89.355848
-37.498137,36,89.413682
-113.890872,131,89.625763
-26.293895,51,89.707667
-4.196379,30,89.755887
-21.980222,41,89.821817
-69.643035,83,89.956316
-69.198387,80,90.085884
-12.765169,45,90.159648
-113.561942,149,90.400938
-38.501701,18,90.43018
-22.555561,28,90.475602
-21.148069,21,90.509454
-177.092887,95,90.6623
4.667477,32,90.71464
-68.769234,48,90.791913
-92.161903,43,90.86105
-80.92591,109,91.040452
-68.843615,92,94.858495
-42.070892,54,94.948575
-9.789374,17,94.976677
-38.091333,66,95.084429
-49.955316,49,95.167187
-62.954742,41,95.234192
-17.479917,42,95.302996
-50.491202,41,95.370067
-72.907902,67,95.480861
-845.590912,1000,97.108537
-3.32854,14,97.131725
-50.002797,48,97.209838
