#{"t_start": 1780407765.2290978, "env_id": "LunarLander-v3"}
r,l,t
-118.051684,97,0.121302
-99.121027,107,0.218743
-90.514249,78,0.288272
-175.981341,72,0.354851
-206.122347,86,0.433079
-277.882635,115,0.54237
-148.825489,67,0.603997
-462.831727,101,0.698066
-276.117858,102,0.793481
-101.224803,87,0.874845
-100.18746,84,0.952121
-367.85855,123,1.06673
-293.600095,88,1.145119
-113.166966,89,1.22541
-545.501955,119,1.342633
-161.852313,99,1.434011
-132.871022,89,1.518527
-222.709625,64,1.57811
-119.868986,61,1.636619
-204.595969,126,1.754432
-80.794819,96,1.846736
-163.49019,91,1.939378
-216.452575,91,5.554987
-326.197437,142,5.685352
-110.867738,119,5.792811
-344.870172,103,5.892002
-200.006632,86,5.972989
-202.741484,118,6.083077
-86.84093,71,6.152171
-210.948498,120,6.262491
-169.716659,115,6.369428
-96.397543,72,6.435983
-86.588563,129,6.55753
-24.415345,98,6.645753
-125.149751,71,6.708946
-86.636953,85,6.788964
-102.551487,86,6.870099
-333.700733,85,6.946792
-68.723919,106,7.046042
-240.828162,105,7.143026
-171.628272,119,7.249793
-120.13561,86,7.326707
-121.380022,63,10.777192
-88.249304,77,10.852099
-82.672981,90,10.93833
-68.487293,73,11.008969
-107.421301,95,11.096925
-83.561519,74,11.167384
-14.637903,173,11.336392
-121.829669,61,11.393958
-103.650665,91,11.479765
-59.809061,164,11.637857
-109.766447,69,11.706174
-73.663936,95,11.793484
-107.016459,79,11.874386
-244.637124,124,11.995378
-270.832199,110,12.101653
-184.561732,80,12.176178
-81.360148,66,12.239827
-112.43732,106,12.340869
-124.288549,81,12.417758
-247.41908,102,12.518184
-205.161831,118,12.630131
-99.319978,99,12.723578
-238.936504,112,16.245504
-144.874945,119,16.36794
-114.882871,92,16.458138
-112.957003,164,16.637969
-37.822112,127,16.764013
-121.149201,138,16.913896
-87.318668,100,17.020749
-11.04985,114,17.140711
15.55751,125,17.272455
-107.81093,103,17.375594
-42.745054,149,17.527921
-87.814235,129,17.657645
-99.434664,82,17.738643
-53.290179,62,17.799041
-60.440806,86,17.911563
-52.81245,120,18.088139
-92.849379,146,18.236007
-127.79606,106,21.820682
-67.569687,119,21.966987
-63.996776,82,22.057834
-25.215513,137,22.191988
-88.539875,94,22.289339
-43.750134,91,22.390205
-59.986939,111,22.509154
-62.620164,115,22.636394
-40.279247,121,22.762611
-88.340943,100,22.866805
-40.144902,105,22.977172
-79.94576,166,23.153282
-145.916052,194,23.354002
-60.763474,144,23.504221
-67.864902,99,23.61279
-57.196405,112,23.730162
-69.005944,143,23.883999
-20.27847,128,27.408132
-76.243134,77,27.488758
-25.465934,212,27.719992
-15.982042,133,27.861979
-31.962825,89,27.959295
-0.865977,110,28.083023
-31.776192,183,28.287493
-22.268366,85,28.382737
-70.245018,132,28.536201
-50.322135,153,28.706667
-36.776795,88,28.794866
-36.172306,96,28.900604
-48.700516,151,29.067516
-72.621386,112,29.195104
-57.443012,112,29.323674
-49.485093,143,29.480676
-5.426985,111,29.60903
-103.291383,242,34.679063
-60.674835,190,35.097612
-10.49915,111,35.349942
-33.6441,191,35.758225
26.111802,138,36.048596
-22.691125,208,36.524601
-68.840658,168,36.873598
-77.996497,241,37.421327
-40.285462,175,37.785339
-27.461483,155,38.108546
-37.137608,192,38.513442
-51.214969,198,42.179085
1.019798,135,42.352661
56.828205,1000,45.32011
-22.121151,174,45.653608
-57.516021,172,46.052183
111.024836,1000,51.665876
-20.866787,230,52.076458
-54.045272,246,52.68203
141.872864,925,56.271818
1.493869,153,60.014927
77.707251,1000,63.079721
52.196832,1000,70.10871
113.621998,1000,74.515763
92.983921,1000,78.652196
124.911757,1000,86.118795
138.092061,1000,90.279732
56.247777,1000,97.638312
156.47139,1000,101.449747
151.868996,1000,109.025187
217.489874,608,112.131934
120.051442,1000,120.193791
133.462111,1000,124.497639
139.758735,1000,132.202128
166.264658,1000,135.776716
141.079419,1000,142.518941
134.648907,1000,145.555104
29.8098,231,146.219926
135.217365,1000,153.355896
139.449509,1000,156.469776
135.535122,1000,163.417263
129.502365,1000,167.603868
134.856199,1000,175.147957
138.66026,1000,178.542101
245.015439,286,179.628455
288.939277,487,184.571888
154.933901,1000,187.081053
