#{"t_start": 1780408770.888541, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.081267
-200.0,200,0.15431
-200.0,200,0.226341
-200.0,200,0.297083
-200.0,200,0.367842
-200.0,200,0.4386
-200.0,200,0.51312
-200.0,200,0.583787
-200.0,200,0.655588
-200.0,200,0.726483
-200.0,200,4.163262
-200.0,200,4.23415
-200.0,200,4.304425
-200.0,200,4.37418
-200.0,200,4.444919
-200.0,200,4.514632
-200.0,200,4.584849
-200.0,200,4.656399
-200.0,200,4.726701
-200.0,200,4.79652
-200.0,200,8.213708
-200.0,200,8.284613
-200.0,200,8.356045
-200.0,200,8.426996
-200.0,200,8.497733
-200.0,200,8.568651
-200.0,200,8.639489
-200.0,200,8.711032
-200.0,200,8.781521
-200.0,200,8.851932
-200.0,200,12.261496
-200.0,200,12.335148
-200.0,200,12.406308
-200.0,200,12.477233
-200.0,200,12.548027
-200.0,200,12.619078
-200.0,200,12.690358
-200.0,200,12.761965
-200.0,200,12.832128
-200.0,200,12.903025
-200.0,200,16.305203
-200.0,200,16.375619
-200.0,200,16.447188
-200.0,200,16.518429
-200.0,200,16.589466
-200.0,200,16.661929
-200.0,200,16.732624
-200.0,200,16.803329
-200.0,200,16.873359
-200.0,200,16.958243
-200.0,200,17.028433
-200.0,200,20.425866
-200.0,200,20.496352
-200.0,200,20.566789
-200.0,200,20.638442
-200.0,200,20.709576
-200.0,200,20.780983
-200.0,200,20.852652
-200.0,200,20.924293
-200.0,200,20.995507
-200.0,200,21.067454
-200.0,200,24.480416
-200.0,200,24.552726
-200.0,200,24.624622
-200.0,200,24.696511
-200.0,200,24.768963
-200.0,200,24.842092
-200.0,200,24.914855
-200.0,200,24.987586
-200.0,200,25.059589
-200.0,200,25.132718
-200.0,200,28.54533
-200.0,200,28.616471
-200.0,200,28.687975
-200.0,200,28.761822
-200.0,200,28.832792
-200.0,200,28.90424
-200.0,200,28.9756
-200.0,200,29.046721
-200.0,200,29.119021
-200.0,200,29.190361
-200.0,200,32.587001
-200.0,200,32.671188
-200.0,200,32.839525
-200.0,200,33.006724
-200.0,200,33.174736
-200.0,200,33.342404
-200.0,200,33.509876
-200.0,200,33.677937
-200.0,200,33.845671
-200.0,200,34.012945
-200.0,200,34.180328
-200.0,200,42.416622
-200.0,200,42.585089
-200.0,200,42.753211
-200.0,200,42.921343
-200.0,200,43.08955
-200.0,200,43.257064
-200.0,200,43.424316
-200.0,200,43.591893
-200.0,200,43.760231
-200.0,200,43.927453
-200.0,200,47.369756
-200.0,200,47.442236
-200.0,200,47.514374
-200.0,200,47.587105
-200.0,200,47.66087
-200.0,200,47.733621
-200.0,200,47.805446
-200.0,200,47.878259
-200.0,200,47.950937
-200.0,200,48.023762
-200.0,200,51.408232
-200.0,200,51.479483
-200.0,200,51.551439
-200.0,200,51.623677
-200.0,200,51.695749
-200.0,200,51.76726
-200.0,200,51.837909
-200.0,200,51.909682
-200.0,200,51.980043
-200.0,200,52.051511
-200.0,200,55.434201
-200.0,200,55.504527
-200.0,200,55.575825
-200.0,200,55.649101
-200.0,200,55.719927
-200.0,200,55.792216
-200.0,200,55.862957
-200.0,200,55.93419
-200.0,200,56.004849
-200.0,200,56.075605
-200.0,200,56.146278
-200.0,200,59.503284
-200.0,200,59.57398
-200.0,200,59.647064
-200.0,200,59.718086
-200.0,200,59.788961
-200.0,200,59.860027
-200.0,200,59.930606
-200.0,200,60.002114
-200.0,200,60.072846
-200.0,200,60.149747
-200.0,200,63.538695
-200.0,200,63.609946
-200.0,200,63.682421
-200.0,200,63.753612
-200.0,200,63.823832
-200.0,200,63.895808
-200.0,200,63.966284
-200.0,200,64.038176
-200.0,200,64.109356
-200.0,200,64.180911
-200.0,200,67.545085
-200.0,200,67.615408
-200.0,200,67.687803
-200.0,200,67.759484
-200.0,200,67.830767
-200.0,200,67.902743
-200.0,200,67.973248
-200.0,200,68.045247
-200.0,200,68.116653
-200.0,200,68.188646
-200.0,200,71.566281
-200.0,200,71.638288
-200.0,200,71.709293
-200.0,200,71.7814
-200.0,200,71.852366
-200.0,200,71.924498
-200.0,200,71.996269
-200.0,200,72.068002
-200.0,200,72.13863
-200.0,200,72.210354
-200.0,200,72.28064
-200.0,200,75.636592
-200.0,200,75.709577
-200.0,200,75.782308
-200.0,200,75.854163
-200.0,200,75.925178
-200.0,200,75.996726
-200.0,200,76.067261
-200.0,200,76.138299
-200.0,200,76.208434
-200.0,200,76.27884
-200.0,200,79.635138
-200.0,200,79.708404
-200.0,200,79.780256
-200.0,200,79.851841
-200.0,200,79.923153
-200.0,200,79.994731
-200.0,200,80.065866
-200.0,200,80.137566
-200.0,200,80.215273
-200.0,200,80.286866
-200.0,200,83.667193
-200.0,200,83.737609
-200.0,200,83.808534
-200.0,200,83.878634
-200.0,200,83.948681
-200.0,200,84.019608
-200.0,200,84.089737
-200.0,200,84.160546
-200.0,200,84.230691
-200.0,200,84.301247
-200.0,200,87.665334
-200.0,200,87.735727
-200.0,200,87.806052
-200.0,200,87.876999
-200.0,200,87.9471
-200.0,200,88.017439
-200.0,200,88.087984
-200.0,200,88.160265
-200.0,200,88.231792
-200.0,200,88.303125
-200.0,200,88.373203
-200.0,200,91.742813
-200.0,200,91.813513
-200.0,200,91.884766
-200.0,200,92.05295
-200.0,200,92.220164
-200.0,200,92.38758
-200.0,200,92.55435
-200.0,200,92.720546
-200.0,200,92.887239
-200.0,200,93.053968
-200.0,200,96.444851
-200.0,200,96.515378
-200.0,200,96.586354
-200.0,200,96.658186
-200.0,200,96.729052
-200.0,200,96.80065
-200.0,200,96.875813
-200.0,200,96.94669
-200.0,200,97.017813
-200.0,200,97.088497
-200.0,200,100.435483
-200.0,200,100.506041
-200.0,200,100.576656
-200.0,200,100.647061
-200.0,200,100.717467
-200.0,200,100.788127
-200.0,200,100.858815
-200.0,200,100.928737
-200.0,200,100.999413
-200.0,200,101.070112
-200.0,200,104.413586
-200.0,200,104.484403
-200.0,200,104.555817
-200.0,200,104.626751
-200.0,200,104.698328
-200.0,200,104.769027
-200.0,200,104.839696
-200.0,200,104.910481
-200.0,200,104.980847
-200.0,200,105.052019
-200.0,200,105.122287
-200.0,200,108.466272
-200.0,200,108.537536
-200.0,200,108.609269
-200.0,200,108.682081
-200.0,200,108.75498
-200.0,200,108.827352
-200.0,200,108.90065
-200.0,200,108.973013
-200.0,200,109.046241
-200.0,200,109.119113
-200.0,200,112.468765
-200.0,200,112.539851
-200.0,200,112.611043
-200.0,200,112.682842
-200.0,200,112.753714
-200.0,200,112.855806
-200.0,200,112.929136
-200.0,200,112.999353
-200.0,200,113.069584
-200.0,200,113.140167
-200.0,200,116.471391
-200.0,200,116.541765
-200.0,200,116.612461
-200.0,200,116.684039
-200.0,200,116.754312
-200.0,200,116.825054
-200.0,200,116.896378
-200.0,200,116.967514
-200.0,200,117.037885
-200.0,200,117.10843
-200.0,200,120.459044
-200.0,200,120.529648
-200.0,200,120.600368
-200.0,200,120.671111
-200.0,200,120.742077
-200.0,200,120.81931
-200.0,200,120.895076
-200.0,200,120.965125
-200.0,200,121.035196
-200.0,200,121.10704
-200.0,200,124.438553
-200.0,200,124.512959
-200.0,200,124.583076
-200.0,200,124.654093
-200.0,200,124.725506
