#{"t_start": 1780075705.8035536, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.02064
10.0,10,0.025613
22.0,22,0.041176
11.0,11,0.048287
14.0,14,0.058522
35.0,35,0.083095
21.0,21,0.095459
15.0,15,0.105474
9.0,9,0.109443
24.0,24,0.123796
49.0,49,0.151942
14.0,14,0.160913
10.0,10,0.165636
13.0,13,0.173638
15.0,15,0.180193
41.0,41,0.198229
20.0,20,0.206927
29.0,29,0.219398
17.0,17,0.227331
14.0,14,0.233491
32.0,32,0.248001
31.0,31,0.262756
10.0,10,0.267468
22.0,22,0.277255
25.0,25,0.288329
12.0,12,0.293796
19.0,19,0.302433
25.0,25,0.313192
39.0,39,0.334063
13.0,13,0.339992
55.0,55,0.363753
26.0,26,0.375128
14.0,14,0.381401
12.0,12,0.388669
11.0,11,0.393584
25.0,25,0.404626
18.0,18,0.412652
47.0,47,0.433381
19.0,19,0.441491
11.0,11,0.446274
39.0,39,0.463317
18.0,18,0.47129
10.0,10,0.475988
17.0,17,0.48312
15.0,15,0.489944
9.0,9,0.493808
13.0,13,0.499549
10.0,10,0.503966
21.0,21,0.512956
19.0,19,0.521067
20.0,20,0.529938
17.0,17,0.537398
23.0,23,0.547547
19.0,19,0.555351
15.0,15,0.561746
26.0,26,0.572999
20.0,20,0.672223
21.0,21,0.797195
27.0,27,0.813065
16.0,16,0.82228
31.0,31,0.837
15.0,15,0.843737
57.0,57,0.868809
17.0,17,0.876328
12.0,12,0.881649
35.0,35,0.896749
26.0,26,0.908361
35.0,35,0.923701
41.0,41,0.941754
16.0,16,0.951196
37.0,37,1.061114
16.0,16,1.067692
36.0,36,1.082248
14.0,14,1.087938
24.0,24,1.097985
16.0,16,1.104811
47.0,47,1.124403
45.0,45,1.142966
21.0,21,1.15173
45.0,45,1.170459
14.0,14,1.176528
46.0,46,1.195828
9.0,9,1.199964
24.0,24,1.210464
34.0,34,1.22505
14.0,14,1.231155
37.0,37,1.247467
18.0,18,1.255577
20.0,20,1.26428
13.0,13,2.917478
26.0,26,2.938727
16.0,16,2.951352
18.0,18,2.965576
35.0,35,2.9927
88.0,88,3.061284
35.0,35,3.088222
24.0,24,3.106789
17.0,17,3.119964
29.0,29,3.14224
21.0,21,3.158545
22.0,22,3.17547
27.0,27,3.195955
41.0,41,3.227213
88.0,88,3.294393
39.0,39,3.324512
16.0,16,3.336874
16.0,16,3.348979
13.0,13,3.359023
31.0,31,3.382561
11.0,11,3.390943
17.0,17,3.403728
19.0,19,3.418247
16.0,16,3.430495
11.0,11,3.438904
11.0,11,3.447291
18.0,18,3.461126
14.0,14,3.471734
29.0,29,3.493782
19.0,19,3.508211
10.0,10,3.516098
39.0,39,3.545656
27.0,27,3.566375
42.0,42,3.598171
29.0,29,3.620521
14.0,14,3.63118
49.0,49,3.669024
33.0,33,3.693902
14.0,14,3.704743
19.0,19,3.71916
41.0,41,3.750616
12.0,12,3.759791
21.0,21,3.776146
30.0,30,3.799224
21.0,21,3.815317
24.0,24,3.833672
17.0,17,3.846918
16.0,16,3.859299
12.0,12,3.868471
11.0,11,3.876958
52.0,52,3.916736
14.0,14,3.927469
11.0,11,3.935767
39.0,39,3.96559
27.0,27,3.986468
59.0,59,4.031638
41.0,41,4.062801
15.0,15,4.074459
27.0,27,4.095285
22.0,22,4.112029
21.0,21,4.128153
18.0,18,4.141967
14.0,14,4.152595
59.0,59,4.197332
40.0,40,4.228014
52.0,52,4.267437
12.0,12,4.276745
69.0,69,4.329448
29.0,29,4.351547
27.0,27,4.372448
61.0,61,4.41907
22.0,22,4.436159
52.0,52,4.476958
14.0,14,5.779783
77.0,77,5.811494
79.0,79,5.838368
50.0,50,5.8559
33.0,33,5.866899
40.0,40,5.880992
32.0,32,5.892368
39.0,39,5.906533
22.0,22,5.914153
44.0,44,5.930437
103.0,103,5.966523
22.0,22,5.974902
39.0,39,5.989579
85.0,85,6.019969
74.0,74,6.047487
17.0,17,6.054005
29.0,29,6.063897
85.0,85,6.093904
22.0,22,6.101757
24.0,24,6.110032
21.0,21,6.117716
20.0,20,6.124915
30.0,30,6.136
24.0,24,6.144723
40.0,40,6.158998
13.0,13,6.164064
16.0,16,6.170028
16.0,16,6.175582
16.0,16,6.181725
16.0,16,6.188027
27.0,27,6.197343
44.0,44,6.212862
23.0,23,6.221476
33.0,33,6.233141
55.0,55,6.253408
12.0,12,6.257745
13.0,13,6.262232
51.0,51,6.279648
65.0,65,6.302373
24.0,24,6.311546
77.0,77,6.339006
14.0,14,6.343514
27.0,27,6.353521
65.0,65,6.375921
40.0,40,6.389837
33.0,33,6.40135
21.0,21,6.408376
28.0,28,6.417991
37.0,37,6.430244
74.0,74,6.45562
24.0,24,6.463848
34.0,34,6.475735
49.0,49,6.492323
23.0,23,6.499699
24.0,24,7.771801
42.0,42,7.7865
47.0,47,7.80236
72.0,72,7.826582
95.0,95,7.859909
60.0,60,7.880249
19.0,19,7.886893
57.0,57,7.907264
133.0,133,7.957827
44.0,44,7.973763
55.0,55,7.992355
52.0,52,8.009393
56.0,56,8.028094
34.0,34,8.039676
59.0,59,8.059327
75.0,75,8.08476
19.0,19,8.09105
45.0,45,8.106122
170.0,170,8.164131
81.0,81,8.192586
12.0,12,8.196571
