#{"t_start": 1780409706.5958335, "env_id": "Ant-v4"}
r,l,t
-30.969694,34,0.070879
-8.188524,33,0.125871
-60.834673,49,0.205031
-138.91827,94,0.355304
-41.665464,27,0.400061
-42.755599,29,0.447807
-1102.65235,1000,2.070973
-41.883474,26,2.113364
-58.786121,44,2.184104
-21.358172,16,2.210159
-218.963199,139,2.435834
-31.972187,24,2.474697
-102.590506,94,2.627179
-29.898103,61,2.724875
-2.641736,13,2.74574
-10.755468,36,2.803671
-112.816308,94,2.95379
-1002.562701,1000,6.200212
-23.361041,35,6.256485
6.74246,27,6.302079
-15.7225,12,6.321213
-45.112095,52,6.404387
-27.325652,18,6.43278
-39.487724,45,6.505286
-24.598915,20,6.537533
-7.9945,13,6.558772
-62.260398,60,6.655752
-32.048053,55,6.742624
-25.348339,33,6.794844
-186.950821,139,7.0166
24.168355,66,7.121493
-63.65468,78,7.246317
-15.56987,22,7.282201
-32.094208,17,7.309678
-34.216816,35,7.366681
-35.981318,61,7.464652
-49.337947,83,7.59774
-1066.884426,1000,10.899058
-989.216421,1000,12.526957
-62.225824,47,12.602548
-75.186955,69,12.712583
-54.940751,35,12.768612
-36.830237,64,12.872531
-25.966421,39,12.935059
-83.405496,61,13.033237
-53.251507,47,13.108708
-43.617582,59,13.203393
-119.811804,150,14.930008
-5.679723,22,14.966093
-57.072078,43,15.035736
-29.703187,29,15.082299
-33.8713,74,15.204673
-22.055018,46,15.281404
-14.684821,12,15.301357
-35.607769,34,15.356104
4.13506,22,15.392211
-8.76496,35,15.449241
-27.778205,20,15.481493
-165.370394,126,15.685329
-998.067189,1000,17.313065
-61.810201,116,17.50221
-959.682519,1000,20.670603
-8.240492,10,20.68683
-7.409743,45,20.759004
-12.041709,22,20.794015
-48.858753,69,20.903635
-126.108735,197,21.222102
-80.834573,62,21.324204
-10.675655,37,21.390343
-30.930553,43,21.45995
-56.816451,68,21.571018
-29.029625,27,21.614284
-25.048446,48,21.691516
-8.510937,18,21.720599
-14.642214,12,21.740018
6.43249,39,21.803216
-6.004453,25,21.843823
-18.847372,24,21.882493
-24.037836,36,21.940831
-17.447231,29,21.987504
-9.842211,60,22.083251
-75.799179,44,22.154124
-13.265342,31,22.204691
-8.955096,13,22.225294
-241.346923,251,22.62825
-18.105107,12,22.6475
-11.593556,18,22.676145
-15.991533,13,22.697066
-41.865277,126,22.899835
-43.253099,31,24.51499
-7.466364,16,24.541831
-23.134249,17,24.569623
-4.732055,15,24.593926
-31.502761,32,24.644862
-14.897405,24,24.683486
-4.750624,45,24.755807
-25.64654,36,24.813367
-103.309006,101,24.974478
-36.771297,50,25.054802
-22.636734,16,25.080395
-14.691224,36,25.138184
-23.492642,17,25.165955
-13.043606,21,25.199641
-22.088719,16,25.225436
-5.041863,15,25.249779
-9.489229,18,25.279878
-33.782239,53,25.366774
-13.785721,22,25.40263
-39.626093,57,25.496077
-54.855329,65,25.602488
-55.701532,82,25.735319
1.821408,25,25.775893
-63.561113,56,25.865934
-4.151085,29,25.912349
-49.943536,45,25.984688
-8.573162,12,26.00374
-198.936745,169,26.281727
-24.748396,60,26.379236
-41.799622,37,26.439041
-45.758299,29,26.486209
-4.328278,26,26.528445
-8.74632,13,26.549478
-44.163987,40,26.613526
-12.907872,17,26.640965
-25.271975,15,26.665774
-61.676332,29,26.712943
-84.613154,112,26.893893
-8.646847,19,26.925672
-53.092198,42,26.996402
-29.696298,55,27.086207
-19.515623,37,27.148693
-6.886793,26,27.19226
-26.254862,90,27.338917
-42.270638,52,27.423011
-6.968616,18,27.453275
-94.29591,99,27.613346
-99.613597,134,27.831472
-77.175449,66,29.530285
-15.498259,23,29.568502
-18.236535,15,29.5927
-37.850458,129,29.801682
-5.304423,21,29.836056
-14.755405,24,29.874883
-78.845844,54,29.962625
-22.682432,65,30.068289
-1.38564,34,30.123846
-9.559786,55,30.213383
-5.481224,16,30.239219
-5.723083,16,30.265096
-59.84533,37,30.325596
-97.946833,80,30.455473
-87.811684,149,30.698809
-23.76923,35,30.755697
-22.936908,44,30.826907
3.693285,44,30.898618
-32.078846,79,31.026254
-76.947526,43,31.096071
-46.21911,63,31.198449
-43.959969,53,31.286326
-31.542754,32,31.339293
-12.413527,12,31.358739
-41.512413,42,31.426893
-9.077972,41,31.493951
-43.977383,49,31.577521
-58.292528,42,31.659338
-20.101376,23,31.697169
-25.950854,34,31.752143
24.144376,102,31.917856
-4.073606,12,31.937299
-57.58083,55,32.025811
-38.179324,26,32.068045
-20.28593,27,32.112124
3.068922,30,32.161156
-801.721636,1000,35.413187
-19.160123,14,35.435956
4.051507,18,35.464759
-17.248795,55,35.553657
-48.552483,27,35.597443
-13.025188,16,35.623581
-118.614328,99,35.782766
-24.593682,35,35.83972
-815.856227,1000,37.467534
-3.784514,23,37.504892
-16.345174,36,37.562652
-37.1303,29,37.609457
-42.812582,41,37.674778
-38.387941,23,37.712249
-37.842617,45,39.294686
-21.698163,23,39.332093
-59.092266,88,39.473262
-26.101867,63,39.576655
-8.72735,17,39.604968
-17.029937,23,39.642327
-31.482866,39,39.707158
-12.163803,13,39.728001
-53.257458,32,39.779481
-37.785788,37,39.838807
14.337052,38,39.898894
-21.163706,21,39.932517
-51.272483,47,40.006729
-23.027005,30,40.054323
-15.777587,17,40.08094
-49.387016,77,40.203149
-30.459388,45,40.275156
-37.290243,45,40.347941
-7.544786,25,40.387371
-13.388647,21,40.420443
-15.712144,20,40.452183
-42.758415,56,40.541188
-22.578977,37,40.600256
11.151357,24,40.63863
-736.823273,1000,42.247109
-3.241886,29,42.294464
-8.840026,16,42.320503
-37.298873,37,42.379899
0.597068,56,42.47064
-1.834144,10,42.486606
-14.853401,20,42.519836
-45.47583,62,44.281983
-16.272663,14,44.304934
-44.280093,90,44.448145
-18.091865,14,44.470639
-10.88619,39,44.532707
-58.654676,74,44.653517
