#{"t_start": 1780408254.8167932, "env_id": "LunarLander-v3"}
r,l,t
-203.840318,68,0.065094
-150.140843,116,0.174066
-268.312091,107,0.267888
-109.669758,89,0.346369
-118.156802,64,0.404235
-438.487986,110,0.505771
-225.91178,63,0.562437
-132.271097,110,0.662671
-194.202972,64,0.720658
-191.547616,97,0.807843
-89.2453,84,0.883172
-22.594241,115,0.989367
-371.004018,99,1.077607
-286.482893,84,1.157156
-153.240741,76,1.225349
-255.323078,139,1.353557
-422.573332,98,1.440589
-149.215957,85,1.517261
-386.291098,100,1.607007
28.466444,87,1.688644
-111.24307,63,1.745316
-59.613732,63,1.804636
-148.635717,87,3.347612
-133.256152,85,3.426999
-195.297761,80,3.498662
-124.097899,62,3.554675
-289.442839,125,3.672341
-67.926358,74,3.742126
-327.81139,74,3.809992
-64.754041,77,3.880494
-434.081573,115,3.982659
-109.752466,104,4.07959
-172.332791,67,4.139969
-111.682714,60,4.195088
-118.805015,106,4.291165
-52.230049,68,4.352913
-398.636737,132,4.476356
-156.377617,121,4.586133
-215.989778,107,4.700298
-168.192293,87,4.777313
-240.972453,109,4.876694
-145.124704,84,4.950505
-86.507054,102,5.043998
-11.436429,86,5.120113
-198.217903,113,6.66103
-333.058588,99,6.75928
4.356153,118,6.867124
-289.817577,140,6.996165
-92.364592,69,7.060142
-118.626047,94,7.147383
-143.467932,81,7.220618
-92.750162,121,7.331316
-354.832041,102,7.423192
-323.599279,120,7.533388
-198.187108,111,7.634969
-89.400336,65,7.695426
-152.81169,117,7.802371
-161.171134,110,7.906044
-133.446608,118,8.017932
-94.378264,85,8.098265
-32.743662,152,8.238706
-75.184441,68,8.300889
-217.920295,119,8.410797
-96.919209,127,8.527496
-34.296092,66,10.060152
-88.266717,121,10.177541
-109.37418,98,10.269296
-106.509279,78,10.343152
-105.613557,69,10.405531
-67.367127,74,10.474097
-3.411858,112,10.574966
-151.729682,118,10.684171
-117.528739,105,10.779799
-140.68007,111,10.880537
-120.383158,73,10.948369
-242.209789,114,11.052086
-131.999445,113,11.159055
-135.287436,71,11.224903
-47.827968,83,11.300151
-103.490626,126,11.420711
-144.25845,73,11.489176
-52.300067,63,11.547199
-60.445426,71,11.612047
-133.657445,108,11.712555
-114.322316,104,11.810758
-308.90838,99,11.906361
-95.679194,120,13.494369
-83.287419,115,13.601219
-44.504397,121,13.715391
-57.760781,125,13.832901
-9.045264,117,13.941072
-105.223601,118,14.053318
-62.976102,119,14.163839
-53.241281,141,14.299319
-52.440656,89,14.384782
-91.402929,90,14.470432
-58.429598,71,14.535932
-79.922285,97,14.627959
-23.177043,92,14.71447
-133.396441,157,14.864602
-59.855449,106,14.963559
-78.746165,116,15.071558
12.745647,117,15.181631
-74.326138,78,15.255968
-172.400776,110,16.84834
-119.367764,106,16.958387
-90.793676,110,17.070919
-105.033783,134,17.198916
-36.042132,95,17.294494
-103.352344,89,17.379737
-41.491715,153,17.527174
-47.748311,147,17.673115
-85.445282,72,17.738984
-87.38226,99,17.835312
-77.125344,82,17.91545
-80.242926,83,17.993734
-113.55521,115,18.105263
-233.85531,157,18.259226
-41.573294,86,18.348582
-92.023354,114,18.45877
-44.461996,156,18.608633
-88.368163,85,18.691759
-74.472455,97,18.78633
-38.6655,124,20.401308
-83.288434,70,20.471608
-62.881323,93,20.5618
-71.738255,90,20.652279
-63.474083,131,20.781106
-15.651069,143,20.918137
-72.231513,90,21.006903
-74.084597,117,21.12059
-76.607486,147,21.266929
-52.936538,83,21.347602
-97.938076,81,21.426614
-116.837062,128,21.551478
-55.070557,96,21.645748
-15.838343,101,21.747294
-76.680855,93,21.835671
-76.632207,147,21.978135
-56.71521,109,22.088026
-64.804552,88,22.169084
-144.123428,113,22.279458
-75.987621,141,23.919823
-19.274067,156,24.076516
117.323932,1000,26.298859
-7.05856,145,26.570149
-16.029006,161,26.87679
-71.773536,83,27.028655
-156.270392,105,27.230055
-91.075044,126,27.466666
-91.071331,89,27.639633
-17.461221,90,29.34659
-11.149002,86,29.44175
57.674521,1000,31.028707
-72.377221,193,31.23436
-30.199503,174,31.413821
-39.313147,92,31.504791
17.698083,89,31.597394
-123.670999,122,31.717344
-40.400588,73,31.792468
15.48505,117,31.911031
-12.192992,131,33.602328
