#{"t_start": 1780409030.4431417, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.148529
-200.0,200,0.316227
-200.0,200,0.483338
-200.0,200,0.650742
-200.0,200,0.818159
-200.0,200,0.986305
-200.0,200,1.154052
-200.0,200,1.321439
-200.0,200,1.488377
-200.0,200,1.655722
-200.0,200,3.129856
-200.0,200,3.201756
-200.0,200,3.273329
-200.0,200,3.345461
-200.0,200,3.417165
-200.0,200,3.488083
-200.0,200,3.55954
-200.0,200,3.63077
-200.0,200,3.702859
-200.0,200,3.776343
-200.0,200,5.146492
-200.0,200,5.218055
-200.0,200,5.290799
-200.0,200,5.362002
-200.0,200,5.433046
-200.0,200,5.503944
-200.0,200,5.57536
-200.0,200,5.646747
-200.0,200,5.718261
-200.0,200,5.790158
-200.0,200,7.439459
-200.0,200,7.607884
-200.0,200,7.775619
-200.0,200,7.943019
-200.0,200,8.110114
-200.0,200,8.277037
-200.0,200,8.443776
-200.0,200,8.61091
-200.0,200,8.778009
-200.0,200,8.944929
-200.0,200,10.764628
-200.0,200,10.9189
-200.0,200,11.086248
-200.0,200,11.253194
-200.0,200,11.420354
-200.0,200,11.587983
-200.0,200,11.755592
-200.0,200,11.92256
-200.0,200,12.089897
-200.0,200,12.256656
-200.0,200,12.423815
-200.0,200,14.033638
-200.0,200,14.105171
-200.0,200,14.1764
-200.0,200,14.247513
-200.0,200,14.318723
-200.0,200,14.390366
-200.0,200,14.461228
-200.0,200,14.532032
-200.0,200,14.603188
-200.0,200,14.673685
-200.0,200,16.053311
-200.0,200,16.127777
-200.0,200,16.202223
-200.0,200,16.275816
-200.0,200,16.352282
-200.0,200,16.426706
-200.0,200,16.500624
-200.0,200,16.574517
-200.0,200,16.648342
-200.0,200,16.721725
-200.0,200,18.178739
-200.0,200,18.252825
-200.0,200,18.326223
-200.0,200,18.399305
-200.0,200,18.472884
-200.0,200,18.546196
-200.0,200,18.619154
-200.0,200,18.692574
-200.0,200,18.765114
-200.0,200,18.838393
-200.0,200,20.233986
-200.0,200,20.305797
-200.0,200,20.375854
-200.0,200,20.445728
-200.0,200,20.515273
-200.0,200,20.585167
-200.0,200,20.654369
-200.0,200,20.724209
-200.0,200,20.793839
-200.0,200,20.863641
-200.0,200,20.933286
-200.0,200,22.372711
-200.0,200,22.539503
-200.0,200,22.706219
-200.0,200,22.873309
-200.0,200,23.041005
-200.0,200,23.207836
-200.0,200,23.374696
-200.0,200,23.541605
-200.0,200,23.708848
-200.0,200,23.875201
-200.0,200,25.369986
-200.0,200,25.524651
-200.0,200,25.692894
-200.0,200,25.86012
-200.0,200,26.026767
-200.0,200,26.194283
-200.0,200,26.361243
-200.0,200,26.52739
-200.0,200,26.694695
-200.0,200,26.86288
-200.0,200,28.348285
-200.0,200,28.513669
-200.0,200,28.678777
-200.0,200,28.843919
-200.0,200,29.008702
-200.0,200,29.173572
-200.0,200,29.339055
-200.0,200,29.503794
-200.0,200,29.669693
-200.0,200,29.835873
-200.0,200,31.359993
-200.0,200,31.524995
-200.0,200,31.690254
-200.0,200,31.858315
-200.0,200,32.023996
-200.0,200,32.188607
-200.0,200,32.354827
-200.0,200,32.520928
-200.0,200,32.686736
-200.0,200,32.852093
-200.0,200,33.017752
-200.0,200,34.487122
-200.0,200,34.559697
-200.0,200,34.633152
-200.0,200,34.706803
-200.0,200,34.779076
-200.0,200,34.854107
-200.0,200,34.926792
-200.0,200,34.999624
-200.0,200,35.073001
-200.0,200,35.145294
-200.0,200,36.634329
-200.0,200,36.800074
-200.0,200,36.965021
-200.0,200,37.130263
-200.0,200,37.294851
-200.0,200,37.459507
-200.0,200,37.624591
-200.0,200,37.789609
-200.0,200,37.954907
-200.0,200,38.12143
-200.0,200,39.743565
-200.0,200,39.911076
-200.0,200,40.077575
-200.0,200,40.243987
-200.0,200,40.411827
-200.0,200,40.579784
-200.0,200,40.747897
-200.0,200,40.915193
-200.0,200,41.082274
-200.0,200,41.249938
-200.0,200,42.759343
-200.0,200,42.831339
-200.0,200,42.901372
-200.0,200,42.974597
-200.0,200,43.047353
-200.0,200,43.118196
-200.0,200,43.189636
-200.0,200,43.262175
-200.0,200,43.333418
-200.0,200,43.405178
-200.0,200,43.476686
-200.0,200,45.020077
-200.0,200,45.185591
-200.0,200,45.351099
-200.0,200,45.515987
-200.0,200,45.680941
-200.0,200,45.846144
-200.0,200,46.011844
-200.0,200,46.177217
-200.0,200,46.341952
-200.0,200,46.507059
-200.0,200,48.2916
-200.0,200,48.364901
-200.0,200,48.438358
-200.0,200,48.511584
-200.0,200,48.584716
-200.0,200,48.657282
-200.0,200,48.73039
-200.0,200,48.802969
-200.0,200,48.876178
-200.0,200,48.949951
-200.0,200,50.321247
-200.0,200,50.394216
-200.0,200,50.467309
-200.0,200,50.54001
-200.0,200,50.612374
-200.0,200,50.685992
-200.0,200,50.758502
-200.0,200,50.831433
-200.0,200,50.904221
-200.0,200,50.977509
-200.0,200,52.352912
-200.0,200,52.427048
-200.0,200,52.500685
-200.0,200,52.574377
-200.0,200,52.648084
-200.0,200,52.722413
-200.0,200,52.796375
-200.0,200,52.870869
-200.0,200,52.944484
-200.0,200,53.020372
-200.0,200,53.094302
-200.0,200,54.482117
-200.0,200,54.555457
-200.0,200,54.628923
-200.0,200,54.702608
-200.0,200,54.775312
-200.0,200,54.847769
-200.0,200,54.92011
-200.0,200,54.993172
-200.0,200,55.06672
-200.0,200,55.139949
-200.0,200,56.50975
-200.0,200,56.583315
-200.0,200,56.657018
-200.0,200,56.730922
-200.0,200,56.803866
-200.0,200,56.877919
-200.0,200,56.95126
-200.0,200,57.025089
-200.0,200,57.098663
-200.0,200,57.173528
-200.0,200,58.559559
-200.0,200,58.637033
-200.0,200,58.710148
-200.0,200,58.783336
-200.0,200,58.856524
-200.0,200,58.929489
-200.0,200,59.002934
-200.0,200,59.075766
-200.0,200,59.149531
-200.0,200,59.223912
-200.0,200,60.601659
-200.0,200,60.687385
-200.0,200,60.760681
-200.0,200,60.834559
-200.0,200,60.908186
-200.0,200,60.981983
-200.0,200,61.056124
-200.0,200,61.13038
-200.0,200,61.205055
-200.0,200,61.278854
-200.0,200,61.353585
-200.0,200,62.756644
-200.0,200,62.82906
-200.0,200,62.901555
-200.0,200,62.973962
-200.0,200,63.048466
-200.0,200,63.121495
-200.0,200,63.195012
-200.0,200,63.279595
-200.0,200,63.36295
-200.0,200,63.437361
-200.0,200,64.824984
-200.0,200,64.898324
-200.0,200,64.971913
-200.0,200,65.045625
-200.0,200,65.119064
-200.0,200,65.19364
-200.0,200,65.26779
-200.0,200,65.342486
-200.0,200,65.416464
-200.0,200,65.490651
-200.0,200,66.879685
-200.0,200,66.952951
-200.0,200,67.026731
-200.0,200,67.100995
-200.0,200,67.175271
-200.0,200,67.249697
-200.0,200,67.322376
-200.0,200,67.395305
-200.0,200,67.467762
-200.0,200,67.541296
-200.0,200,68.903343
-200.0,200,68.977233
-200.0,200,69.050667
-200.0,200,69.124671
-200.0,200,69.19944
-200.0,200,69.273141
-200.0,200,69.362344
-200.0,200,69.436142
-200.0,200,69.5097
-200.0,200,69.583782
-200.0,200,70.958961
-200.0,200,71.039912
-200.0,200,71.113837
-200.0,200,71.190044
-200.0,200,71.263885
-200.0,200,71.338768
-200.0,200,71.412347
-200.0,200,71.486504
-200.0,200,71.559496
-200.0,200,71.633698
-200.0,200,71.707079
-200.0,200,73.110305
-200.0,200,73.185371
-200.0,200,73.259269
-200.0,200,73.333263
-200.0,200,73.406716
-200.0,200,73.481816
-200.0,200,73.556641
-200.0,200,73.630785
-200.0,200,73.705631
-200.0,200,73.779626
-200.0,200,75.182435
-200.0,200,75.255841
-200.0,200,75.328345
-200.0,200,75.402086
-200.0,200,75.475262
-200.0,200,75.549618
-200.0,200,75.623616
-200.0,200,75.698455
-200.0,200,75.771312
-200.0,200,75.844682
-200.0,200,77.210145
-200.0,200,77.284814
-200.0,200,77.361791
-200.0,200,77.435326
-200.0,200,77.509079
-200.0,200,77.582572
-200.0,200,77.656516
-200.0,200,77.730262
-200.0,200,77.803985
-200.0,200,77.877455
-200.0,200,79.232666
-200.0,200,79.308449
-200.0,200,79.381636
-200.0,200,79.45477
-200.0,200,79.527913
-200.0,200,79.601847
-200.0,200,79.674972
-200.0,200,79.748509
-200.0,200,79.82123
-200.0,200,79.894148
-200.0,200,79.967365
-200.0,200,81.316716
-200.0,200,81.389662
-200.0,200,81.461704
-200.0,200,81.5342
-200.0,200,81.60642
-200.0,200,81.678981
-200.0,200,81.751905
-200.0,200,81.82435
-200.0,200,81.896337
-200.0,200,81.968239
-200.0,200,83.353759
-200.0,200,83.427081
-200.0,200,83.500676
-200.0,200,83.574145
-200.0,200,83.648903
-200.0,200,83.723462
-200.0,200,83.797206
-200.0,200,83.871532
